@Relation genericBIFF
@Attribute cap-shape {b,s,c,f,x,k}
@Attribute cap-surface {s,f,g,y}
@Attribute cap-color {p,b,r,c,e,u,w,g,y,n}
@Attribute bruises {t,f}
@Attribute odor {p,a,c,s,f,y,l,m,n}
@Attribute gill-attachment {a,f}
@Attribute gill-spacing {c,w}
@Attribute gill-size {b,n}
@Attribute gill-color {b,e,g,h,k,n,o,p,r,u,w,y}
@Attribute stalk-shape {t,e}
@Attribute stalk-root {b,r,c,e}
@Attribute stalk-surface-above-ring {s,f,y,k}
@Attribute stalk-surface-below-ring {s,f,y,k}
@Attribute stalk-color-above-ring {p,b,c,e,w,g,y,n,o}
@Attribute stalk-color-below-ring {p,b,c,e,w,g,y,n,o}
@Attribute veil-type {p}
@Attribute veil-color {w,y,n,o}
@Attribute ring-number {t,n,o}
@Attribute ring-type {p,e,f,l,n}
@Attribute spore-print-color {r,b,u,w,h,y,k,n,o}
@Attribute population {a,s,c,v,y,n}
@Attribute habitat {p,d,u,g,w,l,m}
@Attribute class {p,e}

@DATA
x,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u,p
x,s,y,t,a,f,c,b,k,e,?,s,s,w,w,p,w,o,p,n,n,g,e
b,s,w,t,l,f,c,?,n,e,c,s,s,w,w,p,w,o,p,n,n,m,e
x,y,w,t,p,f,c,n,n,e,?,s,s,w,w,p,w,o,p,k,s,u,p
x,s,g,f,n,f,w,b,k,t,?,s,?,w,w,p,w,o,e,?,a,g,e
x,y,?,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,?
b,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,?,k,n,m,e
b,y,w,t,l,f,c,b,n,e,?,s,s,w,w,p,w,o,p,n,s,m,e
x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g,p
b,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,?,p,k,s,m,e
x,y,y,t,l,f,c,b,g,e,c,?,?,w,w,?,w,o,p,n,n,g,e
x,y,y,t,a,f,c,b,n,e,c,s,?,w,w,p,w,o,p,k,s,m,e
b,?,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e
x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,?,p,n,v,?,p
x,f,n,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,a,g,e
s,f,g,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,y,u,e
f,f,?,f,n,f,?,b,?,t,e,s,s,w,w,p,w,o,e,n,a,g,e
x,?,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,g,p
x,?,w,t,p,f,?,n,n,e,e,s,s,w,w,p,w,o,p,n,s,u,p
x,s,n,t,p,f,c,n,k,e,?,s,s,w,w,p,w,o,p,n,s,u,p
b,s,?,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m,e
x,y,n,t,p,f,c,?,n,e,e,s,s,w,w,p,w,o,p,n,v,g,p
b,y,y,t,?,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m,e
b,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,e
b,s,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m,e
f,s,w,t,?,f,c,n,n,?,e,s,s,w,w,p,w,o,p,n,v,g,p
?,y,y,t,a,f,c,b,n,e,c,s,s,?,w,p,w,o,p,n,n,m,e
x,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,?,?,n,?,e
?,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,y,u,e
?,s,y,t,?,f,w,n,n,t,b,s,s,w,w,p,w,o,p,?,v,d,e
b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,?,p,n,n,m,e
x,y,w,?,p,f,c,n,k,e,e,s,s,w,?,p,w,o,p,n,s,u,p
x,y,?,t,l,f,c,b,n,e,?,s,s,w,w,p,w,o,p,n,n,m,e
x,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,y,p,e
?,y,y,?,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,?,m,e
x,f,y,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e
